Id,Name,Region,Add,Town,Px,Py
C1_376480000A_000171,風櫃斗梅園,南投縣,南投縣信義鄉牛稠坑陽和巷風櫃斗梅園,信義鄉,120.85931,23.67232
C1_376480000A_000173,上安觀光果園,南投縣,南投縣水里鄉安村巷38之2號,水里鄉,120.85302,23.72342
C1_376480000A_000174,蟬說雅築,南投縣,南投縣信義鄉東埔村30號,信義鄉,120.91759,23.57028
C1_376480000A_000176,鎮國寺(世界和平塔),南投縣,南投縣集集鎮廣明里竹坑巷1-1號,中寮鄉,120.80206,23.85162
C1_376480000A_000177,竹山社寮敬聖亭,南投縣,南投縣竹山鎮集山路一段1738號,竹山鎮,120.72253,23.81455
C1_376480000A_000179,軍功綠美橋,南投縣,南投市中興新村進入南投市必經橋樑軍功橋之右側,南投市,120.69408,23.91519
C1_376480000A_000180,蝴蝶小鎮休閒園區,南投縣,南投縣埔里鎮南村里南村路6-2號（愛蘭橋附近）,埔里鎮,120.9457,23.96544
C1_376480000A_000185,水社大山步道,南投縣,南投縣魚池鄉水社大山步道,魚池鄉,120.94688,23.8511
C1_376480000A_000186,登瀛書院,南投縣,草屯鎮新庄里史館路文昌巷30號,草屯鎮,120.66748,23.98904
C1_376480000A_000187,福龜草莓園,南投縣,南投縣國姓鄉中正路一段,國姓鄉,120.8194,24.01244
C1_376480000A_000188,台灣省政資料館,南投縣,南投市中興新村中正路2號,南投市,120.68621,23.9561
C1_376480000A_000189,竹藝博物館,南投縣,南投市建國路135號,南投市,120.68209,23.90842
C1_376480000A_000192,芙蓉谷瀑布,南投縣,南投縣國姓鄉北港村北圳巷,國姓鄉,120.93713,24.09146
C1_376480000A_000196,仙峰日月洞,南投縣,南投縣中寮鄉仙峰嶺日月洞，就在縣139道50.5公里撻仔灣福長橋處(往日月洞約2公里)，右轉駛入往日月洞的產業道路上,中寮鄉,120.73297,23.88317
C1_376480000A_000197,桂花森林,南投縣,南投縣名間鄉埔中村名松路一段503巷13號,名間鄉,120.64769,23.83089
C1_376480000A_000198,藍田書院,南投縣,南投市崇文里文昌街140號,南投市,120.68436,23.90724
C1_376480000A_000199,韭菜溪湖(偃塞湖),南投縣,台灣南投縣國姓鄉南港村進入,魚池鄉,120.96409,23.91819
C1_376480000A_000201,茶葉改良場-魚池分場,南投縣,南投縣魚池鄉水社村中山路270巷13號,魚池鄉,120.90866,23.86949
C1_376480000A_000203,八通關社寮古道,南投縣,南投縣竹山鎮山重里頂埔巷,竹山鎮,120.72449,23.80586
C1_376480000A_000206,日月潭伊達邵,南投縣,南投縣魚池鄉伊達邵街39號,魚池鄉,120.93016,23.84871
C1_376480000A_000208,龍興吊橋,南投縣,南投縣中寮鄉龍興吊橋,中寮鄉,120.80549,23.90357
